name,type_red,type_black,fen,branchs,steps,moves
单阻中线 闷攻纵杀(1).xqf,双车马双炮多兵仕相全,双车双马炮三卒士双象,C1bak4/7R1/2n1b4/1N4p1p/2pn1r3/P2R2P2/2P1cr2P/2C1B4/4A4/2BAK4 w,1,13,b6c8 e9f9 c8e7 d5e7 h8h9 f9f8 d4d8 c7e8 h9f9 f8f9 d8d9 f9f8 d9f9
单阻中线 闷攻纵杀(8).xqf,车双马炮多兵仕相全,双车马炮三卒双士象,4ka1r1/4a1R2/4b4/pN5Np/2pC5/6P2/P3P2rP/4B4/2ncA4/2BA1K3 w,1,13,h6f7 e8f7 b6c8 e9d9 g8d8 d9e9 d8d7 e9e8 c8e7 e8f8 d7d8 f9e8 d5f5
单阻二线 闷攻横杀(5).xqf,双车双马炮双兵仕相全,双车双马双炮三卒士象全,2ba1k3/3Ra2R1/n3b4/2c1pN2p/p4r1N1/5C3/P3cr1nP/4B4/4A4/3AK1B2 w,1,13,h5g7 f9e9 h8e8 d9e8 d8e8 e9d9 g7f9 e7g9 e8d8 d9e9 f6g8 f5f8 f4e4
单阻二线 闷攻横杀(7).xqf,双车双炮三兵仕相全,车双马双炮三卒士象全,2b2kb2/1C1Ra4/2C2a3/p1n1pP2p/7c1/P8/3Rc3P/2n1B4/4A1r2/2B1KA3 w,1,13,d8d9 e8d9 d3d9 f9f8 d9d8 f7e8 f6f7 f8f7 d8d7 g9e7 d7e7 f7e7 b8b7
实战杀局欣赏04.XQF,双车双马双炮双兵仕相全,双车双马双炮多卒士象全,4kabr1/rC1RaR3/2n1b1nc1/2N1p3p/p1p3p2/3c3N1/4P3P/B3C3B/9/3AKA3 w,1,13,e2g2 d4d7 h4i6 g7f5 i6h8 f5g7 g2g7 d7g7 c6e7 h9h8 e7c8 h8f8 d8e8
实战杀局欣赏07.XQF,双车马炮双兵仕相全,双车双炮卒士象全,1r2kab2/4a4/4b3c/R4N3/8p/4C4/1c1rP3P/4B4/4A4/1R1AK1B2 w,1,13,b0b3 d3b3 f6g8 e9d9 a6d6 e8d7 e4d4 d9d8 d6c6 d7e8 g8f6 e8f7 f6d7
实战杀局欣赏A6.XQF,双车双马双炮多兵仕相全,双车双马双炮三卒双士象,3a1aR2/4k4/b1n1ccr1n/1NC1p2Cp/5r3/3R1p3/P1P1P3P/N3B4/4A4/2B1KA3 w,1,13,e0d0 c7b9 g9f9 f7f8 h6h8 i7g8 c6c9 e7d7 b6d7 e8e7 f9e9 e7f7 d7f8
实战杀局欣赏C5.XQF,双车双马炮三兵仕相全,双车双马炮三卒士象全,2b1kan2/nCR1a1R2/r3b2r1/pcN1p3p/9/9/P3P3P/4B1N2/9/2BAKA3 w,1,13,b8b9 e8d9 c8f8 h7h9 f8d8 a8c7 c6e7 f9e8 e7c8 e9f9 g8e8 c7e8 d8d9
实战杀局欣赏D4.XQF,双车双马炮多兵仕相全,双车马双炮双卒双士象,3rkaR2/4a4/b4c2c/pCR5p/4N1nr1/2P6/P3P3P/4B1N2/4A4/2BAK4 w,1,13,c6g6 g5h3 b6e6 e8d7 g9f9 e9f9 g6g9 f9f8 g9g8 f8f9 e6f6 f9e9 e5f7
实战杀局欣赏E1.XQF,车马双炮双兵双仕相,双车马炮三卒士象全,2baka3/4n1c2/4b4/p1pN4p/9/2Pr1r1R1/P8/1C2C4/4A4/2BAK4 w,1,13,d6f7 g8f8 h4f4 d4f4 f7e5 f4d4 b2b3 f8g8 e5f7 g8f8 b3h3 d4h4 f7e5
封制中线 暴露纵杀(2).xqf,双车马炮兵双仕相,双车双马炮三卒士象全,3a1kb2/4a4/b2c5/p7p/2p4N1/1C6P/4R3R/2n6/r2rAn3/3AK1B2 w,1,13,h5g7 f9f8 i3f3 d7f7 b4f4 f7d7 g7f5 e8f7 f5d6 f7e8 d6f7 f8f7 f4f1
封制底布 二线横杀(3).xqf,双车马双炮双兵仕相全,双车马双炮双卒士象全,2na1kb2/4a3C/8c/p2R2N2/6b2/1R3p3/P1r1P1c2/3CB4/4Ar3/2B1KA3 w,1,13,i8i9 g9e7 d6d9 e8d9 g6h8 f9e9 h8f7 e9f9 f7g9 f9f8 b4b8 d9e8 b8e8
封制底布 二线横杀(4).xqf,双车马双炮双兵仕相全,双车双马双炮三卒士象全,1Cbaka3/7R1/2n1b4/p1N5p/c2Rp4/2P2r3/r3c3P/4Cn3/4A4/2BA1KB2 w,1,13,d5d9 c7d9 e2e5 f9e8 h8e8 e9f9 e8e9 f9f8 e9f9 f8f9 c6d8 f9f8 b9b8
